plots,block,trt,Rendimiento
1,Bloque 1,Tratamiento_A,51.48393973044211
2,Bloque 1,Tratamiento_B,59.78516067373221
3,Bloque 1,Tratamiento_C,57.20353576755233
4,Bloque 1,Tratamiento_D,43.64351400724694
5,Bloque 2,Tratamiento_A,59.724280931922664
6,Bloque 2,Tratamiento_B,42.26674654108164
7,Bloque 2,Tratamiento_C,47.04688879825335
8,Bloque 2,Tratamiento_D,48.306915561740034
9,Bloque 3,Tratamiento_A,59.54069283314531
10,Bloque 3,Tratamiento_B,57.404509819439724
11,Bloque 3,Tratamiento_C,54.307567382768624
12,Bloque 3,Tratamiento_D,50.23852312710102
13,Bloque 4,Tratamiento_A,55.93955257347309
14,Bloque 4,Tratamiento_B,45.166510535675684
15,Bloque 4,Tratamiento_C,43.4502846709104
16,Bloque 4,Tratamiento_D,54.4848874058772
