trt,block,Rendimiento
Tratamiento_D,Bloque_1,93.78063460138088
Tratamiento_A,Bloque_1,4.385237677532251
Tratamiento_C,Bloque_1,81.72797355693342
Tratamiento_B,Bloque_1,44.26995167360067
Tratamiento_A,Bloque_2,2.1200734297088477
Tratamiento_D,Bloque_2,88.77224993434773
Tratamiento_C,Bloque_2,57.75649087252016
Tratamiento_B,Bloque_2,40.7023499188001
Tratamiento_C,Bloque_3,46.28780830194817
Tratamiento_D,Bloque_3,23.560743957597587
Tratamiento_B,Bloque_3,46.50923530148978
Tratamiento_A,Bloque_3,19.003031636998713
Tratamiento_B,Bloque_4,38.70997583935757
Tratamiento_D,Bloque_4,37.8780698173851
Tratamiento_A,Bloque_4,7.276748356272676
Tratamiento_C,Bloque_4,104.53885336839804
