PLOT;REP;INSTN;NTP;NPH;NMTP;NNoMTP;MTWP;NoMTWP;TNTP;TTWP;PPH;NMTPL;TNTPL;TTWPL;TTYNA;MTWPL;MTYNA;ATW;TTYA;MTYA
101;1;CIP308427.194;10;6;48;52;4.52;1.87;100;6.39;60;8.00;16.67;1.07;21.30;0.75;15.07;63.90;35.50;25.11
102;1;CIP308431.273;10;7;32;54;1.68;0.76;86;2.44;70;4.57;12.29;0.35;8.13;0.24;5.60;28.37;11.62;8.00
103;1;CIP308433.101;10;8;27;56;2.25;3.03;83;5.28;80;3.38;10.38;0.66;17.58;0.28;7.50;63.55;21.98;9.37
104;1;CIP308433.160;10;9;25;64;2.43;2.10;89;4.53;90;2.78;9.89;0.50;15.08;0.27;8.10;50.84;16.76;9.00
105;1;CIP308433.351;10;9;31;57;3.42;1.62;88;5.04;90;3.44;9.78;0.56;16.78;0.38;11.38;57.22;18.65;12.65
106;1;CIP308436.173;10;9;61;27;3.13;0.56;88;3.69;90;6.78;9.78;0.41;12.28;0.35;10.42;41.88;13.65;11.57
107;1;CIP308436.245;10;8;45;41;2.29;0.96;86;3.25;80;5.63;10.75;0.41;10.82;0.29;7.63;37.73;13.52;9.54
108;1;CIP308436.84;10;9;38;36;2.79;1.30;74;4.09;90;4.22;8.22;0.45;13.63;0.31;9.30;55.27;15.15;10.33
109;1;CIP308441.227;10;10;54;48;5.58;1.67;102;7.24;100;5.40;10.20;0.72;24.13;0.56;18.58;70.98;24.13;18.58
110;1;CIP308447.74;10;9;30;31;1.08;0.39;61;1.46;90;3.33;6.78;0.16;4.87;0.12;3.58;23.93;5.41;3.98
111;1;CIP308476.16;10;7;49;40;2.36;0.54;89;2.90;70;7.00;12.71;0.41;9.65;0.34;7.87;32.53;13.79;11.24
112;1;CIP308478.123;10;9;72;25;4.77;0.39;97;5.15;90;8.00;10.78;0.57;17.17;0.53;15.88;53.09;19.07;17.65
113;1;CIP308478.59;10;7;54;15;4.26;0.45;69;4.71;70;7.71;9.86;0.67;15.70;0.61;14.20;68.26;22.43;20.29
114;1;CIP308480.292;10;10;40;44;2.46;0.97;84;3.43;100;4.00;8.40;0.34;11.43;0.25;8.20;40.83;11.43;8.20
115;1;CIP308480.298;10;8;36;16;2.76;1.40;52;4.16;80;4.50;6.50;0.52;13.85;0.34;9.18;79.90;17.31;11.48
116;1;CIP308481.314;10;10;36;20;2.31;0.50;56;2.81;100;3.60;5.60;0.28;9.36;0.23;7.69;50.14;9.36;7.69
117;1;CIP308486.187;10;10;50;92;2.96;1.71;142;4.67;100;5.00;14.20;0.47;15.57;0.30;9.87;32.89;15.57;9.87
118;1;CIP308486.221;10;10;52;27;5.22;0.82;79;6.03;100;5.20;7.90;0.60;20.10;0.52;17.38;76.33;20.10;17.38
119;1;CIP720201;10;9;53;31;4.38;1.07;84;5.45;90;5.89;9.33;0.61;18.15;0.49;14.58;64.82;20.17;16.20
120;1;CIP380389.1;10;8;109;33;7.48;0.69;142;8.16;80;13.63;17.75;1.02;27.20;0.93;24.92;57.46;34.00;31.15
201;2;CIP720201;10;9;70;26;7.47;1.12;96;8.59;90;7.78;10.67;0.95;28.63;0.83;24.89;89.46;31.81;27.66
202;2;CIP308447.74;10;8;17;32;1.02;0.95;49;1.97;80;2.13;6.13;0.25;6.57;0.13;3.40;40.20;8.21;4.25
203;2;CIP308436.173;10;8;37;30;2.45;0.85;67;3.30;80;4.63;8.38;0.41;11.00;0.31;8.17;49.25;13.75;10.21
204;2;CIP308486.187;10;10;42;49;3.33;1.37;91;4.69;100;4.20;9.10;0.47;15.63;0.33;11.08;51.54;15.63;11.08
205;2;CIP308481.314;10;8;22;28;1.83;0.66;50;2.49;80;2.75;6.25;0.31;8.28;0.23;6.10;49.70;10.35;7.62
206;2;CIP308433.101;10;8;30;39;3.34;2.46;69;5.80;80;3.75;8.63;0.73;19.33;0.42;11.13;84.06;24.17;13.92
207;2;CIP308480.292;10;7;44;49;2.67;1.79;93;4.46;70;6.29;13.29;0.64;14.87;0.38;8.90;47.96;21.24;12.71
208;2;CIP308478.59;10;8;37;38;3.26;1.13;75;4.39;80;4.63;9.38;0.55;14.62;0.41;10.85;58.47;18.27;13.56
209;2;CIP380389.1;10;7;89;37;6.40;1.00;126;7.40;70;12.71;18.00;1.06;24.67;0.91;21.33;58.73;35.24;30.48
210;2;CIP308476.16;10;9;36;63;2.10;1.66;99;3.76;90;4.00;11.00;0.42;12.53;0.23;7.00;37.98;13.93;7.78
211;2;CIP308433.351;10;8;43;27;3.45;0.80;70;4.25;80;5.38;8.75;0.53;14.17;0.43;11.50;60.71;17.71;14.38
212;2;CIP308441.227;10;7;36;14;2.00;0.33;50;2.33;70;5.14;7.14;0.33;7.77;0.29;6.67;46.64;11.10;9.53
213;2;CIP308436.84;10;7;71;46;4.56;1.61;117;6.17;70;10.14;16.71;0.88;20.55;0.65;15.20;52.69;29.36;21.71
214;2;CIP308436.245;10;8;76;22;4.42;0.65;98;5.07;80;9.50;12.25;0.63;16.90;0.55;14.73;51.73;21.13;18.42
215;2;CIP308480.298;10;7;16;7;1.95;0.18;23;2.13;70;2.29;3.29;0.30;7.08;0.28;6.50;92.39;10.12;9.29
216;2;CIP308433.160;10;7;21;26;2.05;0.67;47;2.72;70;3.00;6.71;0.39;9.05;0.29;6.83;57.77;12.93;9.76
